,beta0,beta1,beta2,beta3,tau1,tau2
2022-02-23,0.058555407762192896,-0.24554472433923988,-9.999999997079309,9.718155317392313,4.005260345566508,4.9869141292305175
2022-02-24,0.049262542010203955,-0.2608781808017256,-9.999999997747434,9.6821442705712,4.02942411908206,5.053624926843844
2022-02-25,0.09382397586401178,-0.3434927588070517,-9.999999999999998,9.57262754317963,3.955732353412655,4.934229659146451
2022-02-28,0.11286636714156771,-0.3633102294320541,-9.999999999960755,9.58377171514754,3.8943234634278183,4.950552313127915
2022-03-01,0.21056273882034188,-0.4367824356974677,-9.999999999999988,9.177058531153808,3.6985546235422726,4.698469543792151
2022-03-02,0.1630004268616484,-0.38840358320808943,-9.999999540886812,9.266762049085246,3.932357756391932,4.894231107606395
2022-03-03,0.14237067841463016,-0.3182657909589922,-9.99999999999999,9.297816509085656,3.926958317630834,4.998002218255433
2022-03-04,0.09832467910308498,-0.31632939643179575,-9.999999999242773,9.180235498372848,3.852797201369086,4.957283295894712
2022-03-07,0.12378288774193713,-0.371343211179667,-9.99999999998405,9.288082305017758,3.871496545486313,5.0025741704230615
2022-03-08,0.14884945648481435,-0.41208857334425414,-9.99999999980102,9.311741832514787,3.9378840352048807,4.9638616899158245
2022-03-09,0.10885742953751741,-0.3697623967680478,-9.999999999999998,9.554502182484399,4.085539211948633,5.125458399131929
2022-03-10,0.14050949600074952,-0.417329841528539,-9.999999999808734,9.394068636693756,3.9064682045315426,4.893996170193419
2022-03-11,0.13585022811204767,-0.40620385755154437,-9.999999999994182,9.446786609222228,3.9061533496929988,4.953138805685852
2022-03-14,0.12944626047364444,-0.44229341193149757,-9.999999999999961,9.480531731234912,3.922870098529053,4.902690036803487
2022-03-15,0.10059649873233756,-0.4232688599437497,-9.999999999999998,9.500958933171814,3.9269707692099933,4.937457865535823
2022-03-16,0.10197544895862512,-0.4573334408117321,-9.99999999669518,9.690110902631703,4.058003824280752,5.080856773974782
2022-03-17,0.1233863781399624,-0.4314811137593011,-9.999999999999924,9.70763969057147,4.253692496410007,5.320228352103551
2022-03-18,0.03515011754181882,-0.3573534750596286,-9.999999999998558,9.74471174185226,4.119842832778121,5.248277944723785
2022-03-21,0.05278014409696343,-0.40289374592013844,-9.99999998151122,9.599876794758085,3.9834708405717145,5.094771840054383
2022-03-22,0.05811494426557912,-0.3314515204171353,-9.999999999995056,9.543182668674246,3.924442784660509,5.052816367758562
2022-03-23,0.05648182694103363,-0.32244594678935523,-6.507648082647451,6.246628821588812,3.8791575722764353,5.663977688312102
2022-03-24,0.08926285500318629,-0.3311335025231069,-9.999999966644769,9.41438349031423,3.88122524298217,4.903733404450667
2022-03-25,0.049231212883651204,-0.2662971516999193,-4.0917271991103465,3.384836874053952,3.0605347295758323,6.160242273321177
2022-03-28,0.07221912082939125,-0.29823193003888815,-4.805560777241011,4.140317683113738,3.260452163088346,5.610856868577872
2022-03-29,0.14998291334686067,-0.3846201010637109,-9.999999999999998,9.167113087639972,3.598817632406185,4.532231842833995
2022-03-30,0.1267827513661975,-0.3698117505588106,-4.963763763098722,4.065202580800441,3.1128822997355994,5.375718811269194
2022-03-31,0.20572920737417388,-0.45439713879610727,-9.999999984814677,9.086678712038777,3.578153290127505,4.498058893645598
2022-04-01,0.1950903887697539,-0.4145409989685913,-9.999999999981384,9.091239149107256,3.5501338491064045,4.486746327701399
2022-04-04,0.17005333779420378,-0.38744503072028624,-9.99999998750588,9.200992691343773,3.6539421504140766,4.6014396542741345
2022-04-05,0.19763757305136073,-0.32821701568874867,-9.99999999999994,8.969818145644952,3.544234994476614,4.500265124890767
2022-04-06,0.1834281027443001,-0.2865875520646116,-5.6122043266544175,4.585137278711984,3.1764102864500687,5.08872001148062
2022-04-07,0.14891949514831476,-0.1839390375456493,-4.086493855303219,2.8259290966980286,2.699296965563717,5.83010207581266
2022-04-08,0.14805145090327193,-0.17601223410159916,-4.333378221250121,3.0665094234909924,2.767639865849345,5.687933027715547
2022-04-11,0.1714177195986311,-0.22643768152736612,-9.99999679159981,8.725811381884006,3.418594419332295,4.396261199746357
2022-04-12,0.1915667112661704,-0.2587829351197152,-9.999999999999996,8.727908735816744,3.4220171205050636,4.413792431044767
2022-04-13,0.17803277041923618,-0.27795476365023253,-9.999999999990232,8.776080322078048,3.4255879919824066,4.4111398517621705
2022-04-14,0.19219089948010235,-0.2966666803546865,-9.999999999999993,8.709831189958324,3.4088206257928912,4.390821808166675
2022-04-19,0.23718682152980713,-0.3554231488771214,-9.999999999999995,8.68664720556293,3.3623058057959727,4.30170881681975
2022-04-20,0.19481850656682967,-0.340221475070553,-9.999999999999998,8.77870951868679,3.4120292393006664,4.3714170159357995
2022-04-21,0.1865482520703193,-0.3274829452139739,-5.123114270568694,3.7542992438392213,2.8992179556485658,4.970975453796654
2022-04-22,0.17124787171580527,-0.3068214242297237,-4.513643253656953,3.3831393237740275,2.8971263687040802,5.228770131609234
2022-04-25,0.19910876356192103,-0.398467170760131,-4.748202925378916,3.6951556991290513,2.9837475450439372,5.0722565010349605
2022-04-26,0.13803285899286152,-0.3207402574220605,-3.50824740552495,2.4382458183524083,2.5780225470444673,6.10971585226046
2022-04-27,0.15878853692929754,-0.32063589741824794,-3.7322629024952385,2.6913974074853133,2.6651367572049756,5.947807275398812
2022-04-28,0.15309544781763673,-0.3303251447297298,-3.7086313465172136,2.7294600317212585,2.7667535417244524,6.093529683356494
2022-04-29,0.13713089338277132,-0.33189186636461016,-3.6156870386123403,2.7838310363653402,2.802057766723541,6.223348388042264
2022-05-03,0.18503504807095061,-0.4204371885465542,-4.4912351771782335,3.6048735823329774,3.0927132242925084,5.449024837499401
2022-05-04,0.19129657844849585,-0.34757517021161544,-3.2662769196754726,2.162009758806378,2.448816753762307,6.759191696223734
2022-05-05,0.18514693118670122,-0.33055345716059287,-3.749443572958074,2.583017544609015,2.644431421398234,6.145227259032815
2022-05-06,0.20347063956618314,-0.32356074358508236,-3.372147505372433,2.0797462955944757,2.3518237519360463,6.926378526790619
2022-05-09,0.18946338615143934,-0.31885763379932236,-3.633682957691416,2.1605466069988,2.3349778829131944,6.559758494791111
2022-05-10,0.16492839398174075,-0.2866427144678895,-3.791761549378944,2.206783836570524,2.3136857540917686,6.499835499921959
2022-05-11,0.18092898816104147,-0.24868234288842392,-3.887200084563663,2.383030755375375,2.2865842566992916,6.699405809957844
2022-05-12,0.21239662998941497,-0.2752270745759862,-3.663639166031503,1.8059791509835925,2.045918311412678,7.464594851082197
2022-05-13,0.16289598749030593,-0.23580219756168724,-3.7131562747450895,1.9956657036317529,2.125238806685956,7.287762032685249
2022-05-16,0.1516145474559903,-0.271369642915886,-3.6718262197507783,1.9533815917837463,2.09705348549413,7.332257703519211
2022-05-17,0.1439902371880865,-0.306700237617164,-3.5886628931208993,2.096337506212871,2.2426144303515207,7.08025926485444
2022-05-18,0.10919474122040274,-0.2812651693750951,-3.413958040301909,2.2589723467319143,2.361899347147775,7.3565168491343504
